0.6000, -0.9000, 0.4750
0.6000, -0.8900, 0.5248
0.6000, -0.8800, 0.4862
0.6000, -0.8700, 0.6237
0.6000, -0.8600, 0.5053
0.6000, -0.8500, 0.4517
0.6000, -0.8400, 0.5445
0.6000, -0.8300, 0.5631
0.6000, -0.8200, 0.5297
0.6000, -0.8100, 0.5467
0.6000, -0.8000, 0.5636
0.6000, -0.7900, 0.4857
0.6000, -0.7800, 0.5998
0.6000, -0.7700, 0.4908
0.6000, -0.7600, 0.5878
0.6000, -0.7500, 0.4900
0.6000, -0.7400, 0.5406
0.6000, -0.7300, 0.5460
0.6000, -0.7200, 0.5381
0.6000, -0.7100, 0.4936
0.6000, -0.7000, 0.5192
0.6000, -0.6900, 0.5178
0.6000, -0.6800, 0.5158
0.6000, -0.6700, 0.4577
0.6000, -0.6600, 0.5402
0.6000, -0.6500, 0.5044
0.6000, -0.6400, 0.5189
0.6000, -0.6300, 0.5385
0.6000, -0.6200, 0.5104
0.6000, -0.6100, 0.5321
0.6000, -0.6000, 0.5036
0.6000, -0.5900, 0.5253
0.6100, -0.9000, 0.4693
0.6100, -0.8900, 0.4834
0.6100, -0.8800, 0.4950
0.6100, -0.8700, 0.5779
0.6100, -0.8600, 0.4543
0.6100, -0.8500, 0.4984
0.6100, -0.8400, 0.5689
0.6100, -0.8300, 0.5482
0.6100, -0.8200, 0.4630
0.6100, -0.8100, 0.5825
0.6100, -0.8000, 0.4903
0.6100, -0.7900, 0.4716
0.6100, -0.7800, 0.4895
0.6100, -0.7700, 0.4536
0.6100, -0.7600, 0.3864
0.6100, -0.7500, 0.5057
0.6100, -0.7400, 0.5056
0.6100, -0.7300, 0.4661
0.6100, -0.7200, 0.5578
0.6100, -0.7100, 0.5374
0.6100, -0.7000, 0.5128
0.6100, -0.6900, 0.5904
0.6100, -0.6800, 0.5211
0.6100, -0.6700, 0.5592
0.6100, -0.6600, 0.5457
0.6100, -0.6500, 0.6551
0.6100, -0.6400, 0.5550
0.6100, -0.6300, 0.4519
0.6100, -0.6200, 0.5050
0.6100, -0.6100, 0.5450
0.6100, -0.6000, 0.5454
0.6100, -0.5900, 0.5542
