0.3000, -1.2000, 0.9734, 0.7784, 0.6278, 0.6736, 0.7391
0.3000, -1.1000, 0.9691, 0.8283, 0.5603, 0.7551, 0.6556
0.3000, -1.0000, 0.9764, 0.8351, 0.5501, 0.7647, 0.6444
0.3000, -0.9000, 0.9749, 0.7853, 0.6191, 0.7139, 0.7002
0.3000, -0.8000, 0.9795, 0.8111, 0.5850, 0.7512, 0.6601
0.3000, -0.7000, 0.9775, 0.7938, 0.6081, 0.7334, 0.6798
0.3000, -0.6000, 0.9821, 0.7580, 0.6523, 0.6904, 0.7234
0.3000, -0.5000, 0.9772, 0.7781, 0.6281, 0.7208, 0.6932
0.3000, -0.4000, 0.9786, 0.7853, 0.6191, 0.7378, 0.6750
0.3000, -0.3000, 0.9792, 0.7708, 0.6371, 0.7251, 0.6887
0.3000, -0.2000, 0.9767, 0.7705, 0.6374, 0.7204, 0.6936
0.4000, -1.2000, 0.9523, 0.8216, 0.5701, 0.7179, 0.6961
0.4000, -1.1000, 0.9750, 0.7669, 0.6418, 0.6674, 0.7447
0.4000, -1.0000, 0.9722, 0.8041, 0.5945, 0.7025, 0.7116
0.4000, -0.9000, 0.9664, 0.8230, 0.5681, 0.7509, 0.6604
0.4000, -0.8000, 0.9760, 0.7907, 0.6123, 0.7121, 0.7021
0.4000, -0.7000, 0.9789, 0.7388, 0.6740, 0.6254, 0.7803
0.4000, -0.6000, 0.9736, 0.7860, 0.6182, 0.7154, 0.6987
0.4000, -0.5000, 0.9807, 0.7787, 0.6274, 0.7186, 0.6954
0.4000, -0.4000, 0.9754, 0.7951, 0.6065, 0.7251, 0.6887
0.4000, -0.3000, 0.9778, 0.7618, 0.6478, 0.7162, 0.6979
0.4000, -0.2000, 0.9815, 0.7443, 0.6679, 0.6861, 0.7275
0.5000, -1.2000, 0.9480, 0.9696, 0.2448, 0.8920, 0.4521
0.5000, -1.1000, 0.9566, 0.7220, 0.6919, 0.6088, 0.7933
0.5000, -1.0000, 0.9583, 0.8503, 0.5263, 0.7571, 0.6533
0.5000, -0.9000, 0.9635, 0.8590, 0.5120, 0.7916, 0.6110
0.5000, -0.8000, 0.9660, 0.7946, 0.6071, 0.7178, 0.6962
0.5000, -0.7000, 0.9746, 0.7653, 0.6436, 0.6750, 0.7378
0.5000, -0.6000, 0.9694, 0.8093, 0.5874, 0.7535, 0.6575
0.5000, -0.5000, 0.9774, 0.7885, 0.6150, 0.7229, 0.6910
0.5000, -0.4000, 0.9758, 0.7756, 0.6312, 0.7244, 0.6894
0.5000, -0.3000, 0.9740, 0.7507, 0.6606, 0.7031, 0.7111
0.5000, -0.2000, 0.9803, 0.7538, 0.6571, 0.7046, 0.7096
0.6000, -1.2000, 0.9436, 0.5219, 0.8530, 0.2976, 0.9547
0.6000, -1.1000, 0.9447, 0.7077, 0.7065, 0.6024, 0.7982
0.6000, -1.0000, 0.9524, 0.5394, 0.8421, 0.2942, 0.9557
0.6000, -0.9000, 0.9584, 0.7806, 0.6251, 0.7028, 0.7114
0.6000, -0.8000, 0.9483, 0.8855, 0.4646, 0.8616, 0.5077
0.6000, -0.7000, 0.9648, 0.7414, 0.6710, 0.6607, 0.7507
0.6000, -0.6000, 0.9667, 0.7750, 0.6319, 0.7324, 0.6808
0.6000, -0.5000, 0.9723, 0.7296, 0.6839, 0.6681, 0.7440
0.6000, -0.4000, 0.9707, 0.7489, 0.6627, 0.6895, 0.7243
0.6000, -0.3000, 0.9716, 0.7969, 0.6041, 0.7825, 0.6226
0.6000, -0.2000, 0.9772, 0.7470, 0.6648, 0.6990, 0.7151
0.7000, -1.2000, 0.9288, 0.3617, 0.9323, -0.0526, 0.9986
0.7000, -1.1000, 0.9360, 0.5593, 0.8289, 0.3342, 0.9425
0.7000, -1.0000, 0.9475, 0.7154, 0.6987, 0.6007, 0.7995
0.7000, -0.9000, 0.9528, 0.5523, 0.8336, 0.3126, 0.9499
0.7000, -0.8000, 0.9639, 0.6230, 0.7822, 0.4370, 0.8995
0.7000, -0.7000, 0.9477, 0.9560, 0.2932, 0.9664, 0.2571
0.7000, -0.6000, 0.9608, 0.7626, 0.6468, 0.7143, 0.6999
0.7000, -0.5000, 0.9531, 0.7316, 0.6817, 0.6727, 0.7399
0.7000, -0.4000, 0.9584, 0.7823, 0.6229, 0.7805, 0.6252
0.7000, -0.3000, 0.9715, 0.6510, 0.7591, 0.5434, 0.8395
0.7000, -0.2000, 0.9729, 0.7505, 0.6608, 0.7401, 0.6725
0.8000, -1.2000, 0.9287, 0.4242, 0.9056, 0.0538, 0.9986
0.8000, -1.1000, 0.9360, 0.2573, 0.9663, -0.1477, 0.9890
0.8000, -1.0000, 0.9562, 0.3714, 0.9285, -0.0079, 1.0000
0.8000, -0.9000, 0.9393, 0.2079, 0.9782, -0.2023, 0.9793
0.8000, -0.8000, 0.9599, 0.5684, 0.8227, 0.3949, 0.9187
0.8000, -0.7000, 0.9518, 0.1998, 0.9798, -0.2016, 0.9795
